token,token_count,file_count
warnedyour,1,1
yuuumgourmet,1,1
upcoffe,1,1
snacklot,1,1
illumin,16,15
aceituan,1,1
craftbar,2,2
abrupt,36,35
barbrothel,1,1
descriptor,6,6
NUMcasual,1,1
lotbittersweet,1,1
buyingNUM,1,1
clanless,1,1
stumbl,268,260
spokesmanit,1,1
salasa,1,1
serveramaz,1,1
sishi,1,1
sangriaveri,1,1
avant,2,2
attractiontruffl,1,1
disastr,13,13
everclear,1,1
nonbar,1,1
blastw,1,1
remax,1,1
blasti,1,1
remak,23,23
dinersdrivein,1,1
breakfastmag,1,1
loloveral,3,3
chafunkta,1,1
dinnerslow,1,1
kiddosjust,1,1
salata,5,5
bestdar,1,1
setand,1,1
intertwin,4,4
rebujito,1,1
smoothiesmilkshak,1,1
misleadingit,1,1
daaaahnjerr,1,1
wonderfulour,1,1
marshmallowesqu,1,1
chutneycheddar,1,1
flit,1,1
glade,1,1
wowzah,1,1
remad,18,16
breadit,3,3
wellmargarita,1,1
clamcrab,1,1
jeezgreat,1,1
impossibletoget,1,1
spectacularsav,1,1
ordersad,1,1
yesireeth,1,1
jambalayaetouffe,1,1
starsapp,1,1
flip,141,138
excellentgreat,1,1
mozarella,37,33
cheapdelta,1,1
garland,4,2
eitherholi,1,1
likedthi,1,1
NUMsummari,1,1
toeveryth,1,1
ofan,1,1
breadil,1,1
saladdelici,1,1
raviolignocchi,1,1
tripgood,1,1
euphor,10,10
serverspleas,1,1
noncasino,4,4
breadic,1,1
whyhe,1,1
adrian,5,5
salari,5,5
daysnight,2,2
breadif,2,2
gladi,2,2
reservationslong,1,1
housefri,1,1
wrestl,5,5
foodnah,1,1
parmesanal,1,1
effectivelyident,1,1
muscat,4,4
lightgot,1,1
brandwid,1,1
myriad,33,33
veryyyy,1,1
andbest,1,1
accecat,1,1
afrodisiaceek,1,1
glace,4,4
complimentri,1,1
dishesfrench,1,1
shakespear,1,1
cheesefail,1,1
cheaptaqueria,1,1
chilam,1,1
chickenpesto,2,2
srow,10,9
remer,1,1
pizzakeep,1,1
beforeaft,2,2
remem,1,1
plisner,1,1
hotwat,1,1
breadoh,1,1
cheeselox,1,1
breadok,1,1
memphi,74,66
NUMrst,1,1
remeb,1,1
busserv,1,1
onyum,1,1
barsrestaurantstavern,1,1
tabNUM,1,1
avali,1,1
karaag,13,7
complimenton,1,1
wowzer,7,7
goodclos,1,1
pavillon,1,1
offp,1,1
salami,100,83
eugin,1,1
avalu,1,1
underwhel,1,1
offy,1,1
kimchibaconeggspancak,1,1
cheeseguancial,1,1
offf,2,2
homerunlov,1,1
offa,3,3
quarters,2,2
offb,1,1
heeeey,1,1
slaweveryth,1,1
porkplus,1,1
cheaaaap,1,1
offi,2,2
oldtown,1,1
better,10538,8889
parkingclean,1,1
abovecoleslaw,1,1
minutesodd,1,1
firstfood,1,1
yelpcombizphotosybmk…,2,2
hellman,3,3
breadmi,1,1
ofev,1,1
adriel,1,1
jeanni,1,1
matzohbal,1,1
adrien,1,1
ofif,2,2
breadth,30,30
salmonspici,1,1
oktastepric,1,1
cordiala,2,2
sandwichsoup,2,2
manjar,1,1
loveee,9,9
parkinggood,1,1
wrongdat,1,1
outstandng,1,1
goodmediocr,2,2
thisiswhyyourefatcom,1,1
flop,24,23
fanast,3,3
nonsalad,1,1
alewhit,1,1
chilld,1,1
flavorfultheir,1,1
lovedw,1,1
todawesom,1,1
flow,195,192
chilli,243,221
hamachitoro,1,1
dummi,13,13
promisingalthough,1,1
lobsterdamn,1,1
wowjust,2,2
timid,16,16
assuag,6,6
dayhoneycrisp,1,1
burgerluckili,1,1
srta,1,1
glassyey,1,1
fairili,1,1
remix,11,11
dumpl,2328,1744
brickback,1,1
mealexperi,1,1
peller,1,1
pellet,4,4
seger,1,1
justiceth,1,1
saturdayand,1,1
footag,7,7
otoshi,1,1
shapedcook,1,1
dumpi,18,18
margaritastyl,1,1
universeent,1,1
mnotevenhungri,1,1
convenientth,1,1
manducationpbrincan,1,1
ironangus,2,2
pammi,1,1
avail,1202,1110
NUMpmsunday,1,1
siwtch,1,1
eugen,1,1
wasabipea,1,1
shitbox,1,1
avaid,1,1
wantamerica,1,1
avaib,1,1
footbi,1,1
kristen,2,1
frontour,1,1
networktravel,1,1
unchicagoan,1,1
sissi,9,7
finallyyyyi,2,2
tenderloin,286,237
ofit,2,2
palacerashfest,1,1
smegma,1,1
mmmchocolatey,1,1
thankyoufornotplayingtechnoorpopher,1,1
kitchenchef,1,1
fuerzabruta,1,1
darnright,1,1
eitherlot,1,1
ofmi,1,1
sisko,1,1
remot,87,83
sandwichandther,1,1
crazylong,1,1
triedtostada,1,1
boxesnext,1,1
rariti,33,33
irondiv,1,1
sweetconclusionil,1,1
brunchtoday,1,1
menudefinit,2,2
cookiespastri,1,1
geriatr,5,5
pricelessth,1,1
minamalist,1,1
existenti,3,3
pigeon,12,10
adriana,3,2
timed,2,2
itmay,1,1
baltic,2,2
shockingport,1,1
tacosalthough,1,1
timei,4,4
timej,1,1
salmonravoli,1,1
chilit,1,1
chiliw,1,1
dessertliz,1,1
timeg,1,1
parradillo,1,1
snaffoo,1,1
sneaki,22,22
gNUM,3,2
raaat,1,1
chilil,1,1
itman,1,1
convenientmi,1,1
dessertlik,2,2
itmak,1,1
legandari,1,1
parradilla,1,1
chilid,1,1
wowhowev,1,1
lowerwindow,1,1
headinclud,1,1
mallairport,1,1
camotechos,1,1
mball,1,1
reubenit,3,3
segal,50,43
salada,4,4
bagelspizzaar,1,1
soulless,2,2
porport,1,1
alltimefavorit,1,1
tablesapart,1,1
guacamoleour,1,1
saladi,4,4
blindfold,8,8
saladw,1,1
timer,102,98
timet,1,1
timem,2,2
saladr,4,4
timey,7,7
mafiaesqu,1,1
flux,3,3
itduck,1,1
custi,1,1
foodmus,1,1
timew,2,2
salady,1,1
snakelik,2,2
flub,3,3
bachelor,55,51
flue,1,1
fluf,2,2
peachesi,1,1
crepinett,20,16
porcini,71,68
mindleigh,1,1
wildflow,2,2
bmade,1,1
witter,1,1
