item,count
warnedyour,1
upcoffe,1
illumin,11
craftbar,2
abrupt,23
barbrothel,1
descriptor,4
lotbittersweet,1
buyingNUM,1
stumbl,104
serveramaz,1
sishi,1
avant,1
disastr,5
nonbar,1
blastw,1
remax,1
blasti,1
dinersdrivein,1
remak,8
breakfastmag,1
chafunkta,1
bestdar,1
setand,1
intertwin,3
misleadingit,1
daaaahnjerr,1
flit,1
glade,1
remad,2
breadit,1
spectacularsav,1
ordersad,1
yesireeth,1
starsapp,1
flip,73
excellentgreat,1
mozarella,9
b,241
c,163
garland,3
d,3961
e,216
f,68
g,128
h,48
j,38
k,52
l,136
m,8133
n,879
toeveryth,1
o,144
p,114
q,83
r,72
s,33947
t,119
tripgood,1
u,267
euphor,4
serverspleas,1
v,83
noncasino,4
w,821
x,41
y,70
z,13
adrian,4
salari,2
daysnight,1
breadif,1
gladi,2
reservationslong,1
housefri,1
wrestl,2
foodnah,1
muscat,1
brandwid,1
myriad,14
andbest,1
accecat,1
afrodisiaceek,1
complimentri,1
dishesfrench,1
­,7
°,2
remer,1
plisner,1
breadoh,1
cheeselox,1
breadok,1
memphi,74
onyum,1
tabNUM,1
avali,1
karaag,7
complimenton,1
goodclos,1
wowzer,3
salami,56
avalu,1
underwhel,1
offy,1
à,10
offa,3
quarters,1
offb,1
slaweveryth,1
é,1
porkplus,1
oldtown,1
better,5316
parkingclean,1
ñ,1
abovecoleslaw,1
firstfood,1
yelpcombizphotosybmk…,2
hellman,1
breadmi,1
jeanni,1
matzohbal,1
adrien,1
ofif,1
breadth,16
salmonspici,1
cordiala,1
sandwichsoup,1
manjar,1
loveee,6
goodmediocr,2
flop,10
fanast,2
chilld,1
todawesom,1
flow,95
chilli,125
hamachitoro,1
dummi,7
lobsterdamn,1
wowjust,2
timid,10
assuag,4
remix,10
dumpl,2289
mealexperi,1
pellet,1
seger,1
saturdayand,1
footag,5
otoshi,1
dumpi,11
convenientth,1
pammi,1
avail,659
siwtch,1
wasabipea,1
wantamerica,1
frontour,1
networktravel,1
sissi,5
ofit,2
tenderloin,115
smegma,1
mmmchocolatey,1
darnright,1
remot,53
sandwichandther,1
crazylong,1
triedtostada,1
rariti,15
sweetconclusionil,1
brunchtoday,1
menudefinit,2
cookiespastri,1
geriatr,4
existenti,1
pigeon,3
adriana,3
timed,1
itmay,1
baltic,1
shockingport,1
tacosalthough,1
timei,1
salmonravoli,1
chilit,1
dessertliz,1
timeg,1
parradillo,1
snaffoo,1
sneaki,8
gNUM,3
itman,1
convenientmi,1
dessertlik,1
itmak,1
legandari,1
parradilla,1
chilid,1
headinclud,1
mallairport,1
camotechos,1
reubenit,2
segal,50
salada,1
bagelspizzaar,1
soulless,2
porport,1
alltimefavorit,1
guacamoleour,1
saladi,3
blindfold,7
saladw,1
timer,53
timem,2
saladr,4
timey,3
mafiaesqu,1
flux,3
itduck,1
foodmus,1
timew,1
flub,3
bachelor,19
fluf,2
peachesi,1
porcini,5
bmade,1
witter,1
towerahmaz,1
tideov,1
pastramirecommend,1
sketch,27
snapperhalibut,1
eatibl,1
yeslobst,1
teresa,1
sliderdont,1
redish,1
kumquat,6
cutor,1
gajillion,2
canyumNUM,1
goodclam,1
semisweet,3
huntington,3
paradiseth,4
ofpp,1
cantaloup,21
freewithvalid,1
glendal,10
schpiel,2
dressingssauc,1
biggenheim,1
yelpcombizphotosbig…it,1
NUMcrabcak,1
NUMsih,1
NUMsif,1
excellentyou,2
camperth,1
giulana,2
flys,1
goodpric,4
resturantdinn,1
reloc,9
weekendsther,1
kitchen,785
talapia,5
pierogiesbrais,1
saltysour,1
camperso,1
youanyway,1
icecreamthai,1
perfectlyribey,1
chorizosundri,1
marvin,2
mofro,1
dessertlov,1
pepperskob,1
fanand,1
redmond,1
thingsNUM,1
karaok,7
counterservic,1
caucasian,14
foodmov,1
friendNUM,1
friendlybut,1
joynt,2
glare,18
starsaft,4
budget,101
minutesnow,1
glass,1097
aaaurghhh,1
antithesi,3
disappointmac,2
scottsdal,2
brigit,1
afterparti,2
sketchiest,2
wornsmooth,1
ssam,1
empanadaswasabi,1
ofth,10
acceptablemediocr,1
tilli,1
latrin,1
NUMsee,1
tampenad,2
julienn,5
shnitzelwheich,1
swissmushroom,1
NUMsea,1
ewthey,1
becaus,1
progeni,1
kramer,5
frenchamerican,1
portiontend,1
attende,4
tillo,2
kosho,1
drinksdessert,2
nycget,2
topfin,1
cringeinduc,1
postvac,1
galorethank,1
topfiv,1
alwaysbusi,1
crampedconclus,1
kristin,8
convosthi,1
cristian,1
stylist,1
earliest,10
hoghead,1
noncustom,1
stylish,47
marvel,40
bitedrunken,1
NUMcabbag,1
fishfast,1
becasu,2
rebecca,2
shrimpm,1
funnel,8
shrimpi,2
uspancetta,1
gland,4
glanc,73
itglass,1
lovercrisp,1
boothtyp,1
omdelici,1
pancrea,3
betteroveral,4
thaiNUM,1
footsi,1
greasetrap,1
rigamarol,1
wretch,5
NUMsat,1
psychot,4
ahmayz,5
memori,237
floweri,5
starsair,1
stuffour,2
tipanyway,1
flamedlick,1
joyth,1
bright,178
foodmak,1
shamrock,1
soundabsorb,1
NUMsas,1
restaraunt,16
gracious,92
NUMoNUM,1
yeeeeeaaaaahhhh,1
kosmo,1
vegasbehold,1
bombperfect,1
