Count,avgPrec,pk10,mRR,nDCG10
0,0.173394,0.300000,1.000000,0.424926
1,0.019565,0.100000,0.250000,0.094788
2,0.091077,0.300000,0.500000,0.297369
3,0.643333,0.400000,1.000000,0.786014
4,0.000000,0.000000,0.000000,0.000000
5,0.186410,0.200000,1.000000,0.298490
6,0.317563,0.700000,1.000000,0.750637
7,0.500000,0.100000,0.500000,0.630930
8,0.528571,0.100000,1.000000,0.613147
9,0.066378,0.200000,0.333333,0.183410
10,0.026999,0.000000,0.043478,0.000000
11,0.113006,0.400000,0.500000,0.369336
12,0.163324,0.500000,1.000000,0.557978
13,0.131937,0.600000,0.500000,0.532878
14,0.115553,0.300000,1.000000,0.362111
15,0.032343,0.100000,0.500000,0.138862
16,0.303676,0.600000,1.000000,0.696938
17,0.127137,0.400000,0.333333,0.340520
18,0.368649,0.700000,1.000000,0.781984
19,0.153593,0.300000,1.000000,0.469000
20,0.407389,0.800000,1.000000,0.870125
21,0.239346,0.700000,1.000000,0.796761
22,0.325485,0.500000,1.000000,0.642187
23,0.097098,0.100000,1.000000,0.220092
24,0.028405,0.100000,0.500000,0.138862
25,0.303801,0.700000,1.000000,0.779171
26,0.156332,0.400000,0.500000,0.385048
27,0.187252,0.300000,0.333333,0.319722
28,0.348840,0.300000,1.000000,0.469000
29,0.273217,0.300000,1.000000,0.445959
30,0.342612,0.400000,1.000000,0.463644
31,0.510450,0.600000,1.000000,0.699474
32,0.126225,0.200000,0.500000,0.249689
33,0.075214,0.100000,0.500000,0.148297
34,0.235467,0.500000,1.000000,0.613653
35,0.069444,0.100000,0.500000,0.159589
36,0.489244,0.800000,1.000000,0.820069
37,0.455822,0.600000,1.000000,0.602328
38,0.333333,0.200000,1.000000,0.508740
39,0.418410,0.600000,1.000000,0.696938
40,0.079195,0.300000,0.250000,0.258330
41,0.548225,0.800000,1.000000,0.857205
42,0.371212,0.300000,1.000000,0.530697
43,0.622669,0.500000,1.000000,0.702220
44,0.518182,0.300000,1.000000,0.673958
45,0.445869,0.900000,1.000000,0.926636
46,0.281896,0.500000,0.500000,0.466623
47,0.388889,0.200000,0.500000,0.498189
48,0.485714,0.400000,1.000000,0.665199
49,0.000000,0.000000,0.000000,0.000000
50,0.304167,0.600000,0.500000,0.576669
51,0.272501,0.500000,1.000000,0.586116
52,0.051926,0.200000,0.111111,0.129875
53,0.444744,0.400000,1.000000,0.554143
54,0.167475,0.300000,0.500000,0.343697
55,0.189939,0.600000,1.000000,0.657899
56,0.070684,0.100000,0.125000,0.069431
57,0.019341,0.000000,0.040000,0.000000
58,0.000000,0.000000,0.000000,0.000000
59,0.194444,0.200000,0.250000,0.369268
60,0.146287,0.500000,1.000000,0.608618
61,0.422559,0.700000,1.000000,0.716485
62,0.350838,0.800000,1.000000,0.826813
63,0.014461,0.000000,0.062500,0.000000
64,0.416667,0.200000,1.000000,0.585570
65,0.000000,0.000000,0.000000,0.000000
66,0.041675,0.200000,0.333333,0.183410
67,0.097237,0.300000,1.000000,0.437352
68,0.416881,0.500000,1.000000,0.567043
69,0.115717,0.100000,0.200000,0.131205
70,0.204377,0.500000,0.500000,0.464291
71,0.395782,0.700000,1.000000,0.775337
72,0.398373,0.700000,1.000000,0.763095
73,0.156419,0.400000,1.000000,0.547398
74,0.546654,0.900000,1.000000,0.921602
75,0.388950,0.300000,1.000000,0.451286
76,0.321940,0.400000,1.000000,0.532621
77,0.048221,0.100000,0.111111,0.066254
78,0.010263,0.100000,0.250000,0.094788
79,0.000000,0.000000,0.000000,0.000000
80,0.277778,0.100000,1.000000,0.390380
81,0.182148,0.400000,1.000000,0.498572
82,0.117950,0.200000,0.333333,0.173667
83,0.265501,0.600000,1.000000,0.698796
84,0.000000,0.000000,0.000000,0.000000
85,0.013248,0.100000,0.111111,0.066254
86,0.212086,0.100000,1.000000,0.274876
87,0.039286,0.100000,0.125000,0.069431
88,0.040612,0.000000,0.090909,0.000000
89,0.135205,0.500000,1.000000,0.551785
90,0.196231,0.600000,1.000000,0.674936
91,0.048643,0.100000,0.333333,0.110046
92,0.107778,0.300000,0.166667,0.214084
