"","p"
"1",0.0597718808255003
"2",0.00865805321917769
"3",0.0712713788547811
"4",1.47058653945574e-05
"5",0.00056347578341656
"6",0.0103979683387013
"7",0.0424382194871271
"8",0.0183105477517802
"9",0.0121324167780026
"10",3.33823655944686e-05
"11",3.01929212525024e-08
"12",0.00683118275790726
"13",0.000178462081394767
"14",0.018434797041185
"15",7.03766306151876e-05
"16",0.0097650700788807
"17",5.04841977102025e-05
"18",0.0324837671470223
"19",0.0117745257232035
"20",0.019791896127943
"21",0.00307071061660325
"22",0.000136265388414951
"23",0.000855237605056396
"24",0.178627018758265
"25",0.0182831525976099
"26",0.157109397654962
"27",0.00342480086148452
"28",0.00206417226032698
"29",0.000215582475316638
"30",0.180538352242658
"31",0.00120638842894693
"32",0.260539263124887
"33",0.00047711120851387
"34",0.0197573512241323
"35",0.00708150349360059
"36",0.00309553598530998
"37",0.00373089536657654
"38",0.021769079946872
"39",0.00902196355423508
"40",0.00631117255007114
"41",0.0318284275594279
"42",0.00118240606546749
"43",0.00131416323408164
"44",0.000272056900280502
"45",8.69345037290768e-05
"46",2.10341938457274e-05
"47",0.000239913261219405
"48",0.0911721070107269
"49",0.00692784471276872
"50",0.00786706416555294
"51",0.0747366822897032
"52",4.74686589823955e-05
"53",0.00549971002461846
"54",3.98044226817334e-05
"55",0.000125522610036432
"56",0.000144731732464544
"57",0.001901110836496
"58",0.00292598028993667
"59",0.000423326140419499
"60",4.20333278128296e-05
"61",0.0102381151788174
"62",0.00941150617207888
"63",0.00253958542861522
"64",0.0161551228454856
"65",0.000822500426681629
"66",7.5297661229916e-05
"67",3.09071175967035e-05
"68",0.000611916855716364
"69",0.00129770092513402
"70",0.0002137049145004
"71",0.00251208749853324
"72",0.0157368037950752
"73",0.000418640205597232
"74",0.000731377976801258
"75",0.000417724887834915
"76",2.36286187772397e-05
"77",0.00233364376068518
"78",5.82534624388915e-06
"79",0.000669572442467179
"80",2.65542304109038e-05
"81",0.00196899408623456
"82",0.00409992250508166
"83",0.0154924866426057
"84",5.5817076210263e-06
"85",1.26216474793945e-05
"86",0.000538202169890586
"87",0.0656231024380908
"88",0.107566551093951
"89",0.566526865786745
"90",1.46349195112159e-05
"91",1.6423873745039e-06
"92",0.00189228704863064
"93",0.000132156196310363
"94",0.0042184132783164
"95",0.00207751041782562
"96",0.00538152200919851
"97",0.00118476200101674
"98",5.38495096911701e-07
"99",0.467670255621643
"100",0.000523425159115127
"101",6.57883838410204e-05
"102",7.7458267845164e-05
"103",0.00198153482663349
"104",0.00927385190481893
"105",0.000251537712457803
"106",0.000229679500791617
"107",0.00111556676951907
"108",3.95125376364504e-05
"109",0.00306341219812756
"110",0.0279605281739559
"111",0.0158193208651647
"112",0.101069410830351
"113",0.00027313868016619
"114",0.00133247920496843
"115",0.0142332206377471
"116",0.00010681114319469
"117",0.10371281321154
"118",0.000484856064509307
"119",3.80118958326759e-05
"120",0.121967380088632
"121",0.00370966453901712
"122",0.000725965384957903
"123",9.72255844328574e-06
"124",4.26593763254078e-05
"125",0.000116975911633842
"126",4.07825416904182e-05
"127",0.000646593331366782
"128",0.000783750244017023
"129",0.00568978733261074
"130",0.0465827599669451
"131",5.22450161277635e-05
"132",0.048844511531601
"133",0.00126937502535109
"134",0.00946839350177267
"135",0.000754934216794877
"136",0.0433731156421314
"137",2.28592074264471e-05
"138",0.00966304886418682
"139",0.0125409369523533
"140",0.00167278816171884
"141",0.000488473026135888
"142",0.000673577390964945
"143",0.000471016536697122
"144",9.91035972264399e-06
"145",5.34437098843345e-07
"146",0.00233938772939126
"147",0.0110172256607378
"148",0.00225182361268853
"149",0.000967220704388958
"150",1.53299345214098e-05
"151",0.000480684729991055
"152",0.846336240451876
"153",0.0129268973149765
"154",0.0253085971629775
"155",0.141116758609489
"156",0.0708426992747975
"157",0.000118115360082722
"158",0.00431199426870368
"159",0.00835413896831365
"160",0.00310348321107468
"161",0.0778571583111216
"162",4.05516000070906e-05
"163",0.000191441006574027
"164",1.43633930054114e-05
"165",6.52898474034045e-06
"166",0.00234777012282923
"167",0.0602500734138643
"168",0.0460577895965422
"169",0.130562433512318
"170",0.000370302316771315
"171",0.000686587251552698
"172",0.000212836628863636
"173",2.89574271808187e-05
"174",3.3805417112418e-05
"175",0.000208929950224355
"176",5.73797532058704e-06
"177",0.00649726503516541
"178",0.0273205266276579
"179",2.18721329797022e-05
"180",0.03778709668687
"181",0.00452182870906819
"182",2.66651769971966e-05
"183",0.0765984529988772
"184",9.19521562509037e-05
"185",0.0364068750518712
"186",0.000216751437635517
"187",0.00132140204223931
"188",0.000272605198369358
"189",0.00018130153632148
"190",4.7491880804335e-05
"191",0.0382190984173544
"192",0.000947522070739241
"193",0.0546452984644235
"194",7.76989563680794e-05
"195",6.05434095112883e-05
"196",0.0312111215528967
"197",0.00123025204085241
"198",0.00736433473107675
"199",0.0378350646779629
"200",0.000509022841631371
